Phylum	Genus	A	B	C	D	E	F	G	H	I	J
p_Ascomycota	g_Fusarium	11.02	12.61	18.78	16.54	23.46	13.46	19.3	20.29	23.04	21.53
p_Ascomycota	g_Gibellulopsis	6.89	3.35	7.92	4.99	2.9	6.83	3.08	3.84	2.03	4.75
p_Ascomycota	g_Tetracladium	7.14	5	3.66	3.19	5.26	4.56	4.96	3.76	4.67	5.55
p_Ascomycota	g_Clonostachys	3.65	2.62	3.02	1.54	2.79	2.54	4.03	3.94	3.16	2.88
p_Ascomycota	g_Lophiotrema	2.25	2.03	2.76	2.08	4.99	5.54	2.66	3.56	3.44	1.66
p_Mortierellomycota	g_Podila	0.09	0.09	2.57	0.82	1.18	1.37	0.94	0.86	1.01	0.79
p_Ascomycota	g_Dactylonectria	2.77	3.02	2.35	0.72	1.16	2.41	0.59	0.46	1.13	1.89
p_Ascomycota	g_Alternaria	0.32	0.31	2.32	0.91	0.85	1.17	1.41	1.08	1.51	1.01
p_Ascomycota	g_Marquandomyces	3.18	0.37	2.24	0.55	1.3	1.02	1.09	1.04	1.76	2.43
p_Ascomycota	g_Plectosphaerella	1.86	1.01	2.13	2.19	2.87	2.19	1.96	2.66	1.67	2.86
p_Ascomycota	g_Truncatella	2.64	1.78	1.87	1	2.14	1.96	2.77	1.08	2.55	1.53
p_Ascomycota	g_Penicillium	7.42	4.83	1.63	2.42	1.54	0.86	1.6	1.55	0.97	4.19
p_Ascomycota	g_Zopfiella	0.32	0.3	0.58	0.32	0.12	0.32	2.49	0.82	0.32	1.36
p_Ascomycota	g_Fusidium	0.24	0.02	0.57	2.68	0.1	0.44	0.64	0.54	0.49	0.37
p_Basidiomycota	g_Solicoccozyma	3.3	7.52	0.54	0.29	1.25	1.04	0.41	0.34	0.78	1.51
p_Ascomycota	g_Pyrenochaetopsis	0.74	0.46	0.34	0.38	3.27	0.81	0.75	0.98	1.18	0.43
p_Ascomycota	g_Acrostalagmus	0.27	2.47	0.15	0.09	0.15	1.11	0.29	0.71	0.18	0.66
p_Basidiomycota	g_Subulicystidium	0	0	0.12	3.65	0	0	0.58	0.07	0	0.01
p_Ascomycota	g_Pseudoechria	0.08	5.17	0.1	0.04	0.12	0.09	0.15	0.06	0.71	0.11
p_Ascomycota	g_Auxarthron	0.03	0.08	0.01	0.02	0.02	0.39	0.01	0	3.26	0.26
