Phylum,Genus,A,B,C,D,E,F,G,H,I,J
p__Acidobacteriota,g__Vicinamibacteraceae,2.6,2.6,2.8,3.1,3,2.4,2.3,2.7,2.4,2.2
p__Actinomycetota,g__Kitasatospora,4,2.8,2.1,2.2,3.4,2.6,2,2.1,3.3,2.7
p__Actinomycetota,g__Gaiella,2.8,3,2,2.7,3.8,2.6,1.9,2.1,3.5,2.1
p__Actinomycetota,g__Capillimicrobium,4.1,5.5,1.5,3.7,2.9,2.6,2.1,2.3,3.5,2.4
p__Actinomycetota,g__Streptomyces,1.6,1.3,1.2,1.4,1.3,1,1.8,1.8,1.2,1.9
p__Actinomycetota,g__Mycobacterium,2.1,0.7,1.1,1.5,1,1,1.5,1.5,0.9,1
p__Actinomycetota,g__Solirubrobacter,1.5,1.9,1.1,1.7,1.6,1.5,1.9,1.6,1.6,2
p__Actinomycetota,g__Iamia,0.8,0.9,0.9,1.4,1.3,1.1,1.1,1.3,1.4,1.1
p__Actinomycetota,g__Ilumatobacter,0.6,0.5,0.9,0.5,0.7,1.1,0.9,0.9,0.7,0.9
p__Actinomycetota,g__Rhabdothermincola,1.3,1.5,0.8,0.9,0.7,0.7,0.8,0.8,0.8,0.8
p__Actinomycetota,g__Pseudarthrobacter,0.7,0.4,0.6,1.6,0,0.2,1.6,1.2,0.2,1.5
p__Actinomycetota,g__Microlunatus,1.7,1.4,0.5,1,1,0.8,0.8,1,0.5,0.6
p__Actinomycetota,g__Kribbella,0.3,0.4,0.1,0.1,0.1,0,0.2,0.2,0.1,4.1
p__Actinomycetota,g__Nocardioides,3.4,2.2,2.6,3.9,3,3.3,4.1,4.4,3.8,5.3
p__Chloroflexota,g__Ktedonobacter,2.9,3.1,2.3,1.7,2.3,1.7,2.6,2.9,2.5,3.4
p__Chloroflexota,g__Tepidiforma,1,1.2,1.1,0.7,1.4,2.3,0.9,1.1,2.3,1.3
p__Chloroflexota,g__KD4-96,5.4,3.6,2.8,2.9,4.4,4,3.1,3.3,4.1,3.8
p__Crenarchaeota,g__Nitrososphaeraceae,1.9,5.7,4,1.8,3,5,2.4,2.1,1.1,3.3
p__Methylomirabilota,g__Rokubacteriales,1.7,0.8,1.4,1.6,1.6,1.9,1.4,1.5,2.5,0.7
p__Pseudomonadota,g__Skermanella,0.4,0.3,0.9,0.8,0.7,0.9,1.1,1.3,0.8,1.6
