vineyard,trophic_mode,relative_abundance
A,Pathotroph,17.3
A,Pathotroph_Saprotroph,3.2
A,Pathotroph_Saprotroph_Symbiotroph,20.1
A,Pathotroph_Symbiotroph,5.8
A,Saprotroph,28.6
A,Saprotroph_Symbiotroph,1.8
A,Symbiotroph,1.1
A,na,22.1
B,Pathotroph,11
B,Pathotroph_Saprotroph,2.6
B,Pathotroph_Saprotroph_Symbiotroph,24.6
B,Pathotroph_Symbiotroph,2.9
B,Saprotroph,27.7
B,Saprotroph_Symbiotroph,4.8
B,Symbiotroph,1
B,na,25.3
C,Pathotroph,15.1
C,Pathotroph_Saprotroph,3.8
C,Pathotroph_Saprotroph_Symbiotroph,31.8
C,Pathotroph_Symbiotroph,4.5
C,Saprotroph,20.8
C,Saprotroph_Symbiotroph,6.9
C,Symbiotroph,0.5
C,na,16.6
D,Pathotroph,10.4
D,Pathotroph_Saprotroph,2.1
D,Pathotroph_Saprotroph_Symbiotroph,23.8
D,Pathotroph_Symbiotroph,2.8
D,Saprotroph,24.6
D,Saprotroph_Symbiotroph,3.3
D,Symbiotroph,0.5
D,na,32.6
E,Pathotroph,11.7
E,Pathotroph_Saprotroph,4.2
E,Pathotroph_Saprotroph_Symbiotroph,35.8
E,Pathotroph_Symbiotroph,4.3
E,Saprotroph,26.1
E,Saprotroph_Symbiotroph,3.2
E,Symbiotroph,0.4
E,na,14.3
F,Pathotroph,16.2
F,Pathotroph_Saprotroph,4.3
F,Pathotroph_Saprotroph_Symbiotroph,25.7
F,Pathotroph_Symbiotroph,3.2
F,Saprotroph,23
F,Saprotroph_Symbiotroph,5.3
F,Symbiotroph,1
F,na,21.2
G,Pathotroph,16.2
G,Pathotroph_Saprotroph,3.5
G,Pathotroph_Saprotroph_Symbiotroph,28.8
G,Pathotroph_Symbiotroph,3.1
G,Saprotroph,26.8
G,Saprotroph_Symbiotroph,4
G,Symbiotroph,0.5
G,na,17.1
H,Pathotroph,14
H,Pathotroph_Saprotroph,2.9
H,Pathotroph_Saprotroph_Symbiotroph,29.4
H,Pathotroph_Symbiotroph,3.7
H,Saprotroph,23.1
H,Saprotroph_Symbiotroph,4.8
H,Symbiotroph,0.4
H,na,21.7
I,Pathotroph,12.2
I,Pathotroph_Saprotroph,2.9
I,Pathotroph_Saprotroph_Symbiotroph,32.3
I,Pathotroph_Symbiotroph,3.4
I,Saprotroph,27
I,Saprotroph_Symbiotroph,2.6
I,Symbiotroph,2.5
I,na,17
J,Pathotroph,11
J,Pathotroph_Saprotroph,2.5
J,Pathotroph_Saprotroph_Symbiotroph,31.4
J,Pathotroph_Symbiotroph,5.4
J,Saprotroph,26.5
J,Saprotroph_Symbiotroph,3.6
J,Symbiotroph,0.3
J,na,19.2
