factor,pH,org_C,Total_N,C.N_ratio,P2O5,K2O,Mg,S,CACO3,Total_Fe,Total_Mn,Total_Cu,Total_Zn,Bor
pathogenic_wood_saprotrophs,0.79,-0.47,-0.38,-0.71,-0.43,-0.21,-0.26,0.03,0.66,-0.55,-0.27,-0.33,-0.54,-0.17
nonpathogenic_wood_saprotrophs,-0.69,0.23,0.12,0.60,0.41,0.59,0.34,-0.02,-0.85,0.82,0.54,0.49,0.76,0.04
p_Ascomycota,0.26,-0.51,-0.57,-0.01,-0.12,0.31,-0.04,-0.26,-0.05,-0.09,-0.02,-0.15,-0.02,-0.42
p_Basidiomycota,-0.62,0.43,0.34,0.57,0.20,0.20,0.49,0.14,-0.71,0.81,0.49,0.63,0.75,0.25
p_Mortierellomycota,0.20,0.08,0.21,-0.69,-0.02,-0.07,-0.10,0.38,0.35,-0.36,-0.28,-0.07,-0.36,0.40
p_Rozellomycota,-0.38,0.67,0.73,0.09,0.65,0.12,0.29,0.53,0.09,-0.23,-0.07,0.20,-0.04,0.64
g_Cistella,-0.70,0.10,-0.02,0.61,0.22,0.51,0.22,-0.23,-0.86,0.68,0.39,0.24,0.60,-0.05
g_Pseudophialocephala,-0.49,0.39,0.32,0.38,0.44,0.64,0.71,0.43,-0.67,0.79,0.60,0.83,0.81,0.36
g_Populomyces,0.17,0.00,-0.03,0.19,-0.04,-0.03,0.14,0.27,0.24,-0.28,-0.19,-0.10,-0.05,0.13
g_Tetracoccosporium,-0.02,0.07,0.06,0.10,-0.28,-0.47,-0.18,-0.19,0.01,0.19,0.04,-0.04,0.04,-0.10
g_Collarina,-0.65,0.46,0.35,0.63,0.37,0.47,0.73,0.24,-0.80,0.88,0.62,0.82,0.86,0.29
g__Mucor,0.09,0.20,0.27,-0.23,0.12,0.39,0.20,0.33,0.08,0.07,0.61,0.08,0.06,0.33
g_Limnoperdon,-0.38,-0.18,-0.23,0.23,-0.02,0.32,-0.23,-0.41,-0.49,0.28,0.14,-0.24,0.16,-0.23
