,DNA16S_1,DNA16S_2,DNA16S_3,DNA16S_4,DNA16S_5,DNA16S_6,DNA16S_8,DNA16S_9,DNA16S_10,DNA16S_11,DNA16S_12,DNA16S_13,DNA16S_14,DNA16S_15,DNA16S_16,DNA16S_17,DNA16S_18,DNA16S_20,DNA16S_21,DNA16S_22,DNA16S_23,DNA16S_24,DNA16S_25,DNA16S_26,DNA16S_27,DNA16S_28,DNA16S_29,DNA16S_31,DNA16S_33,DNA16S_34,DNA16S_35,DNA16S_36,DNA16S_37,DNA16S_38,DNA16S_39,DNA16S_40,DNA16S_41,DNA16S_42,DNA16S_43,DNA16S_44,DNA16S_45,DNA16S_46,DNA16S_47,DNA16S_48,DNA16S_49,DNA16S_50,DNA16S_51,DNA16S_52,DNA16S_53,DNA16S_54,DNA16S_55,DNA16S_56,DNA16S_57,DNA16S_58,DNA16S_59,DNA16S_60
OTU1,0.159489633,0.215643704,0.211851049,0.18023396,0.224767981,0.150383157,0.133797164,0.111224395,0.202458424,0.16171417,0,0.106371272,0.08906419,0.054337088,0.054034582,0.047110553,0,0.242355925,0.128969291,0.032366649,0.087777817,0.049571879,0.136489127,0.087752655,0.068851556,0.149425145,0.098585378,0.209585909,0.062601728,0.087545382,0.141570142,0.144927536,0.036363636,0.087151257,0.096187142,0.06266819,0.061264717,0.025727517,0.018084,0.056554688,0.075674188,0.051468198,0.023599748,0.04823345,0.262579384,0.192050282,0.147074779,0.213000107,0.215141612,0.19264111,0.267140256,0.183741549,0.346450178,0.160339002,0.241136019,0.124630334
OTU2,0.007316038,0.023471424,0,0.004591948,0.00362529,0.003199642,0,0,0.010845987,0.017326518,0,0,0,0,0,0,0,0,0,0.01294666,0,0,0,0.005850177,0,0.011114267,0,0.010585147,0,0.007724593,0,0.003051106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004477211,0,0.003447265,0,0,0
OTU3,0.305810398,0.29926065,0.38082748,0.304216556,0.213892111,0.355160222,0.020069575,0.083418296,0.156664256,0.179040688,0.069799907,0.198070645,0.14631974,0,0.144092219,0,0.122506125,0.081724672,0.153368887,0.038839979,0.268600119,0.04055881,0.111672922,0.277883406,0.082621867,0.426046902,0.142401102,0.186298586,0.012520346,0.182815356,0.184470184,0.2532418,0.041212121,0.105905325,0.103882113,0.066354555,0.11986575,0.031444743,0.031647,0.059786385,0.087139974,0.083974428,0.023599748,0.091643555,0.132307442,0.226968515,0.188062832,0.097625049,0.216503268,0.074790078,0.167149211,0.080275434,0.174086906,0.062990322,0.089309637,0.050697085
OTU4,0.455057577,0.604389156,0.358129153,0.396055517,0.321442382,0.433551442,0.782713406,0.22244879,0.315738732,0.410060932,0.348999535,0.315445842,0.299001209,0.380359613,0.738472622,0.816582915,0.087504375,0.309990137,0.4008505,0.433713102,0.438889084,0.459666516,0.235753947,0.32760991,0.247865602,0.74465589,0.345831247,0.215936997,0.45073244,0.847130314,0.345345345,0.488176964,0.591515152,0.49312167,0.430918395,0.64142736,0.524745618,0.34303356,0.036168,0.161584824,0.174279949,0.338606566,0.735525488,0.16399373,0.085490962,0.310772275,0.238695133,0.067450034,0.145697168,0.25723254,0.334298421,0.287207664,0.139614251,0.040084751,0.23577744,0.276721589
OTU5,0.611620795,0.467961507,0.389654607,0.603841165,0.604215004,0.454349113,0.29435376,0.055612198,0.14340805,0.112622369,0.302466263,0.271430143,0.222660475,0.148192057,0.270172911,0.141331658,0.0700035,0.112723686,0.149883231,0.265406525,0.198377866,0.126182965,0.086856717,0.36563606,0.032130726,0.569297455,0.129882323,0.091032264,0.275447602,0.352756392,0.175890176,0.578184592,0.283636364,0.240493342,0.215459197,0.239613669,0.412870918,0.300154365,0.063294001,0.22945045,0.16510732,0.251923285,0.161264947,0.289400699,0.014248494,0.140836874,0.189268363,0.005325003,0.065359477,0.066857797,0.24027699,0.096330521,0.044814451,0,0.05894436,0.063371356
OTU6,1.529051988,1.072350663,1.476652249,1.147987005,1.375193349,1.220663286,1.217554188,0.917601261,1.190648349,0.898091195,1.349464867,0.766606756,0.528023411,0.923730488,0.792507205,1.114949749,0.437521876,1.003240806,1.258322005,0.977472812,1.502756223,0.98693105,0.728976021,0.658144909,0.550812448,1.470788002,0.464759639,0.433991024,0.78878177,1.253958854,0.516945517,0.866514111,0.964848485,0.96307655,0.700242392,0.895786486,0.863033403,0.977645646,0.664587007,0.499297106,0.481563016,0.582403294,0.74339207,0.646328229,0.439667807,0.755397777,0.616026329,0.449075225,0.702614379,0.576790146,0.746201833,0.797402644,0.277504869,0.704346332,0.580512637,0.66539924
OTU7,1.110574602,1.0342096,0.976028045,1.223754147,1.131090487,0.987089446,1.498528231,1.589581982,1.51000241,1.065580872,1.651931131,0.704251183,0.508938228,0.854574195,1.585014409,0.942211055,1.522576129,1.020149359,1.150266653,1.029259451,0.402022401,1.374493015,1.814684989,1.208061544,1.578995685,1.26702644,1.694729594,1.58353798,1.946913735,1.75090764,1.181896182,1.214340198,0.715151515,0.892473,0.904159132,0.995318318,0.892333919,1.206334686,3.074280031,1.357312521,2.843514951,1.785133817,1.089521712,2.394790787,0.211691907,0.598265728,0.467746019,1.077425539,0.840141612,0.812492209,1.064083813,0.875894179,1.196201113,1.173910554,0.614450299,1.244190959
OTU8,1.169102907,0.582384697,1.24462491,1.029744343,0.988495746,1.390244293,0.722504683,0.477338029,0.679681851,0.343642612,0.395532806,0.282434068,0.375341943,0.326022525,0.216138329,0.141331658,0.560028001,0.566436522,0.393879187,0.51786639,0.646044732,0.892293826,0.3753451,0.526515927,0.890480125,1.285550218,1.693164747,1.083919045,0.300488293,0.329582615,0.557700558,0.396643783,0.443636364,0.482089865,0.457850795,0.681977366,0.402216185,0.60030873,0.750486008,0.52353483,0.765914511,0.67450428,0.515261171,0.262872302,0.256472887,0.827562125,0.999385179,0.401150201,0.733932462,0.508799166,0.664119631,0.688584833,0.536049779,0.864685335,0.537644012,0.906210393
OTU9,0,0,0.467837732,0.363911881,0.350444702,0.361559505,0,0.296598387,0.623041697,0.334979353,0,0,0,0.148192057,0,0,0,0.417077638,0.550733731,0,0.653066957,0,0,0,0,0.343307359,0,0.493267847,0.557155377,0,0.304590305,0.094584287,0,0.155548446,0,0,0,0,0,0,0.084846817,0,0,0,0.358247842,0.15829599,0.200118142,0.575100288,0,0.109918751,0.68799809,0.233690708,0.367133771,0,0.585871216,0
OTU10,2.752293578,1.899718343,2.05419856,2.814864136,2.438611756,2.039771546,1.926679154,1.668365928,1.843817787,1.516070346,1.33783155,2.850016506,2.589223233,2.534084173,2.26945245,1.162060302,2.625131257,1.752853318,1.620830283,1.60538581,1.478178435,2.149616945,2.441294165,1.869131541,3.323235105,2.045025131,3.339384076,2.546786349,4.025291098,1.539768777,3.382668383,3.083142639,2.336969697,1.92725628,2.947174022,2.447745788,2.802194875,2.747127094,3.616800036,2.656454506,2.361951935,2.73052335,3.484896161,2.305558905,3.651685393,4.076121748,3.1367916,2.332351166,3.374183007,2.204040931,3.43252843,3.211017357,3.840253719,3.756513772,3.093685809,3.248838192
