,Domain,Phylum,Class,Order,Family,Genus
OTU1,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__WD2101_soil_group,g__WD2101_soil_group
OTU2,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales
OTU3,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__uncultured
OTU4,d__Bacteria,p__Chloroflexi,c__JG30-KF-CM66,o__JG30-KF-CM66,f__JG30-KF-CM66,g__JG30-KF-CM66
OTU5,d__Bacteria,p__Latescibacterota,c__Latescibacterota,o__Latescibacterota,f__Latescibacterota,g__Latescibacterota
OTU6,d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira
OTU7,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium
OTU8,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,__,__,__
OTU9,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrocosmicus
OTU10,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__JG30-KF-CM45
OTU11,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__Vicinamibacteraceae
OTU12,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Microvirga
OTU13,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__Babeliaceae,g__Babeliaceae
OTU14,d__Bacteria,p__Fibrobacterota,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae,g__possible_genus_04
OTU15,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__AKYG1722,g__AKYG1722
OTU16,d__Bacteria,p__Chloroflexi,c__KD4-96,o__KD4-96,f__KD4-96,g__KD4-96
OTU17,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41
OTU18,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella
OTU19,d__Bacteria,p__Actinobacteriota,c__MB-A2-108,o__MB-A2-108,f__MB-A2-108,g__Kitasatospora
OTU20,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__PLTA13,f__PLTA13,g__PLTA13
OTU21,d__Bacteria,p__Myxococcota,c__bacteriap25,o__bacteriap25,f__bacteriap25,g__bacteriap25
OTU22,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__uncultured
OTU23,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,__,__,__
OTU24,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,__,__,__
OTU25,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhodomicrobiaceae,g__Rhodomicrobium
OTU26,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces
OTU27,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,__
OTU28,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Elev-16S-573,f__Elev-16S-573,g__Elev-16S-573
OTU29,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Pedomicrobium
OTU30,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__uncultured,g__uncultured
OTU31,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__uncultured
OTU32,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Marmoricola
OTU33,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae,g__Geminicoccus
OTU34,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__uncultured
OTU35,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__uncultured
OTU36,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Roseimicrobium
OTU37,d__Bacteria,p__Actinobacteriota,__,__,__,__
OTU38,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,__,__,__
OTU39,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Thermomonosporaceae,g__Actinocorallia
OTU40,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides
OTU41,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__A21b,g__A21b
OTU42,d__Bacteria,p__Chloroflexi,c__TK10,o__TK10,f__TK10,g__TK10
OTU43,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__BIrii41,g__BIrii41
OTU44,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,__
OTU45,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_Incertae_Sedis,g__Bauldia
OTU46,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter
OTU47,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,__
OTU48,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,__
OTU49,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae,g__uncultured
OTU50,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__uncultured
OTU51,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,__,__
OTU52,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,__,__,__
OTU53,d__Bacteria,p__Chloroflexi,__,__,__,__
OTU54,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14
OTU55,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__uncultured,f__uncultured,g__uncultured
OTU56,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae,g__Candidatus_Alysiosphaera
OTU57,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10
OTU58,d__Bacteria,p__Acidobacteriota,c__Subgroup_22,o__Subgroup_22,f__Subgroup_22,g__Subgroup_22
OTU59,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,g__uncultured
OTU60,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Geodermatophilaceae,g__Modestobacter
OTU61,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia
OTU62,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__uncultured,f__uncultured,g__uncultured
OTU63,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Gaiella
OTU64,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Turicibacter
OTU65,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas
OTU66,d__Bacteria,p__Firmicutes,__,__,__,__
OTU67,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__WX65,g__WX65
OTU68,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__uncultured,g__uncultured
OTU69,d__Bacteria,p__Armatimonadota,c__uncultured,o__uncultured,f__uncultured,g__uncultured
OTU70,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,__
OTU71,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bryobacter
OTU72,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Phyllobacterium
OTU73,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__uncultured
OTU74,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,__
OTU75,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,__,__
OTU76,d__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium
OTU77,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Sandaracinaceae,g__uncultured
OTU78,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,__,__,__
OTU79,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Xiphinematobacteraceae,g__Candidatus_Xiphinematobacter
OTU80,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Rhodoplanes
OTU81,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus
OTU82,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,__
OTU83,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__CCD24,f__CCD24,g__CCD24
OTU84,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Cellvibrionaceae,g__uncultured
OTU85,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__uncultured
OTU86,d__Bacteria,p__NB1-j,c__NB1-j,o__NB1-j,f__NB1-j,g__NB1-j
OTU87,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Terrimonas
OTU88,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,__
OTU89,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Actinoplanes
OTU90,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,__
OTU91,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadales,g__Saccharimonadales
OTU92,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__Rokubacteriales,g__Rokubacteriales
OTU93,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,__
OTU94,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus
OTU95,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,__
OTU96,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,__
OTU97,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae,__
OTU98,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__DS-100,f__DS-100,g__DS-100
OTU99,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__uncultured,g__uncultured
OTU100,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,__,__
OTU101,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II
OTU102,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Sutterellaceae,g__uncultured
OTU103,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_1
