,ITS_1,ITS_2,ITS_3,ITS_4,ITS_5,ITS_6,ITS_7,ITS_9,ITS_10,ITS_11,ITS_13,ITS_14,ITS_15,ITS_16,ITS_17,ITS_18,ITS_19,ITS_20,ITS_21,ITS_22,ITS_23,ITS_24,ITS_25,ITS_26,ITS_27,ITS_28,ITS_29,ITS_30,ITS_31,ITS_32,ITS_33,ITS_34,ITS_35,ITS_36,ITS_37,ITS_38,ITS_39,ITS_40,ITS_41,ITS_42,ITS_43,ITS_44,ITS_45,ITS_46,ITS_47,ITS_48,ITS_49,ITS_50,ITS_51,ITS_52,ITS_53,ITS_54,ITS_55,ITS_56,ITS_57,ITS_58,ITS_59,ITS_60
OTU1,0,0.000294186,5.31E-05,0,0,0,0,3.18E-05,0,0,0,0,0,0,0.002663047,0,0,0,0.000492278,0.002535431,0.000445497,0.000143065,0,0.000644379,0.002071026,0,0,0.000654592,0,0,0.001039511,0,0.000407155,0,0,0.001186926,0.000278786,0,0.0010826,0.00015391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2,0,0,2.36E-05,4.35E-05,5.07E-05,0,0,4.23E-05,0.000103113,6.23E-05,0,0.003032883,0,0,0,0,0,3.11E-05,2.81E-05,0.000100184,0,0,1.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004053614,0.001386437,0.005014911,0.000120986,0.001023379,0.00020375,0.000179055,0.003960693,0.000172858,0.000780945,0.000498561,0.001183685,0,5.78E-05,0,0,9.09E-05,0
OTU3,0.000305868,0,0.000100284,0,9.42E-05,0,0,0,5.62E-05,0,0,0,0,0,0,0.000173277,0.003748249,0.000869565,8.44E-05,7.71E-05,0.001495596,0.002204886,0.000330192,0,0.000969134,0,0,0,0.000119618,0,0.002109009,0,0,0,0,0.000293068,0,0,0,0,0,0,0,0,0,0,0,0.000206482,6.37E-05,0.000364727,0.001130757,0.002916501,0,0,0,0,0,0
OTU4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU5,0,0,0,0,0,0,0,0,0.000384331,0,0.000730762,5.32E-05,0,9.17E-05,0,0,0,0,0,0,0,0,5.66E-05,0,0,0,0.001104311,0,0,0,0,0,0.000168478,0,0,0,0,0,0,0,0.002322171,0.000454925,0.000443113,0,0.000308778,0.002085045,0.001173802,0,0.000973462,0,0,0.000677263,0,0,0,0,0,0
OTU6,0,0,0,0.000661474,0.000876754,0.000105863,0.001992032,0.00022233,0.000506191,0.000959298,0.000444812,0,0.00019633,0.001990545,0,0.001937557,0,0.003059006,0.001392444,0.003614337,0.000178199,0.001986081,0.002056623,0.002009445,0.000318619,0.001207922,0.003790218,0.002352825,0.001866044,0.001008342,0.000949554,0.000900218,0.004310224,0.003249201,0.005087424,0.002608307,0.003824379,0.001290981,0.000909845,0.003602885,0,0,0.000147704,2.02E-05,0.000361712,0.000957627,0.000417794,0,0,0,0.000724712,0.000427103,0.011338448,0,0,9.14E-05,0.000254589,0
OTU7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020745,0,0,0,0,0,0
OTU8,0.004180195,0.002791635,0.002041069,0.004456243,0.004992428,0.003789884,0.00147668,0.001895102,0.002156001,0.001046507,0.021811654,0.003192508,0.001132674,0.002972722,0,0.00107117,0.008402669,0.001677019,0.002756758,0.001271568,0.002163841,0.007228997,0.013603902,0.003103194,0.00205775,0.008043167,0.001899788,0.004106637,0.00912288,0.001126508,0.003898168,0.005543006,0.002695645,0.00469329,0.011147188,0.003480185,0.00030738,0.001918238,0.002026996,0.003518934,0.000346289,0.00056324,0.003833277,0.002712104,0.003405382,0.00072671,0,0.000825927,0.000645942,0,0.001177015,0.000213551,2.22E-05,0.001942028,0.000708688,0.006033366,0,0.002057893
OTU9,0,0,0,0,0,0,0,0,2.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10,0,0,0,0,0,0,0,0,0,0,0,0,0.003171487,0,0.006594564,0.000661605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000498251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170074
OTU11,0.001317585,0,0.000489621,0.003907916,0.003144722,0.000352876,0.000713564,0.000995193,0.001612314,0.000137043,0.001620385,0.001053528,0.000468172,0.002082215,0.002811406,0.000740367,0.001894719,0.005962733,0.006709049,0.003375436,0.039076422,0.009593779,0.002132096,0.001305715,0.005044806,0.005135475,0.00149737,0.00227872,0.002775142,0,0.029756015,0.006368206,0.000603712,0.002983743,0.000381991,0.003458205,0.002509078,0.000262572,0.001347492,0.002833337,0.001089791,0.000487419,0.000647085,0.000615012,0.01225408,0.000855752,0.001704334,0.005481149,0.097473548,0.007444722,0.0010331,0.034827176,0.003960957,0.004733694,0.002927864,0.022320408,0.002879276,0.003010306
OTU12,0,1.25E-05,1.18E-05,0.00031333,2.17E-05,0,4.96E-05,0,0,0,7.94E-05,3.19E-05,0,5.24E-05,0,4.73E-05,0,3.11E-05,7.03E-05,0.000909364,0,0,0.000103775,0.000152616,0,0,0,8.65E-05,4.78E-05,0.002158483,0,1.67E-05,0,8.49E-05,0,0.000124554,2.86E-05,0,5.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44E-05,0,3.10E-05,0,0,0.000107713
OTU13,0,0,0,0,0,7.06E-05,8.92E-05,0,0,0,4.77E-05,4.26E-05,0,2.62E-05,0,6.30E-05,0,9.32E-05,0.000267237,0.000223488,0.000146377,0,0,0,0,0.000101263,0,0,0,0,0,0.000341749,0,0,0,0,0.000314528,0,0,0,0,0,0,0,0.000255845,0,0,0,0,0.001896581,5.65E-05,0,0.00015555,0,0,0,0,0
OTU14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004407884,0,0,0,0,0,0.000393115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU15,0,0,0,0,0,0,0,0,0,0,0,0.000681068,0,0,0,0,0,0,5.63E-05,0,2.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU16,0.000376453,0.000200297,0,0,0,9.17E-05,0,0,8.44E-05,0,0,0,0,0,0,0,0,0.000124224,0,6.17E-05,1.91E-05,0,8.49E-05,0,0.00025224,0,0.001450577,0,0.000247211,0,4.00E-05,0,0.000491394,0,0.000989704,0,0.001129443,0,8.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000585741,0.000222214,0,8.79E-05,0.000441837,0.001576025,0
OTU17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000741412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20E-05,0,0,0,0,0,0,0
OTU19,0.003631202,0.009044647,0.059875294,0.032011837,0.014600497,0.01990924,0.005986006,0.008840282,0.010751882,0.011013243,0.010230667,0.004480153,0.001948199,0.00246199,0.021853302,0.009861063,0.017876267,0.007763975,0.003544403,0.007113077,0.002513874,0.031263938,0.017424693,0.008063217,0.022475938,0.016860272,0.013981695,0.005983956,0.012902814,0.022246555,0.007066679,0.013086496,0.005152613,0.00413052,0.011720174,0.047858038,0.015576302,0.003588491,0.005551205,0.0063033,0.001283305,0,0.005880036,0.006956697,0.002629025,0.002492546,0.000457584,0.004401813,0.005949944,3.86E-05,0.00623972,0.001696208,0.008221902,0.003306072,0.018337946,0.002689114,0.025816502,0.002188283
OTU20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11E-05,0,0,0,0,0,0,0
