SampleID,variety,Plant_status,Vineyard,samplingcode,location,variety-Plant-status,varietystatus,status_code
ITS_1,Müller.Thurgau,symptomatic,I,Weber.V1,Ringsheim,Müller.Thurgau-symptomatic,MT_symptomatic,I_symptomatic
ITS_2,Müller.Thurgau,asymptomatic,I,Weber.V1,Ringsheim,Müller.Thurgau-asymptomatic,MT_asymptomatic,I_asymptomatic
ITS_3,Müller.Thurgau,symptomatic,I,Weber.V1,Ringsheim,Müller.Thurgau-symptomatic,MT_symptomatic,I_symptomatic
ITS_4,Müller.Thurgau,asymptomatic,I,Weber.V1,Ringsheim,Müller.Thurgau-asymptomatic,MT_asymptomatic,I_asymptomatic
ITS_5,Müller.Thurgau,symptomatic,I,Weber.V1,Ringsheim,Müller.Thurgau-symptomatic,MT_symptomatic,I_symptomatic
ITS_6,Müller.Thurgau,asymptomatic,I,Weber.V1,Ringsheim,Müller.Thurgau-asymptomatic,MT_asymptomatic,I_asymptomatic
ITS_7,Müller.Thurgau,asymptomatic,II,Weber.V2,Eichstetten,Müller.Thurgau-asymptomatic,MT_asymptomatic,II_asymptomatic
ITS_9,Müller.Thurgau,asymptomatic,II,Weber.V2,Eichstetten,Müller.Thurgau-asymptomatic,MT_asymptomatic,II_asymptomatic
ITS_10,Müller.Thurgau,symptomatic,II,Weber.V2,Eichstetten,Müller.Thurgau-symptomatic,MT_symptomatic,II_symptomatic
ITS_11,Müller.Thurgau,symptomatic,II,Weber.V2,Eichstetten,Müller.Thurgau-symptomatic,MT_symptomatic,II_symptomatic
ITS_13,Müller.Thurgau,asymptomatic,III,Bader.V1,Ihringen,Müller.Thurgau-asymptomatic,MT_asymptomatic,III_asymptomatic
ITS_14,Müller.Thurgau,asymptomatic,III,Bader.V1,Ihringen,Müller.Thurgau-asymptomatic,MT_asymptomatic,III_asymptomatic
ITS_15,Müller.Thurgau,asymptomatic,III,Bader.V1,Ihringen,Müller.Thurgau-asymptomatic,MT_symptomatic,III_asymptomatic
ITS_16,Müller.Thurgau,symptomatic,III,Bader.V1,Ihringen,Müller.Thurgau-symptomatic,MT_symptomatic,III_symptomatic
ITS_17,Müller.Thurgau,symptomatic,III,Bader.V1,Ihringen,Müller.Thurgau-symptomatic,MT_symptomatic,III_symptomatic
ITS_18,Müller.Thurgau,symptomatic,III,Bader.V1,Ihringen,Müller.Thurgau-symptomatic,MT_symptomatic,III_symptomatic
ITS_19,Müller.Thurgau,asymptomatic,IV,Bader.V2,Ihringen,Müller.Thurgau-asymptomatic,MT_asymptomatic,IV_asymptomatic
ITS_20,Müller.Thurgau,asymptomatic,IV,Bader.V2,Ihringen,Müller.Thurgau-asymptomatic,MT_asymptomatic,IV_asymptomatic
ITS_21,Müller.Thurgau,asymptomatic,IV,Bader.V2,Ihringen,Müller.Thurgau-asymptomatic,MT_asymptomatic,IV_asymptomatic
ITS_22,Müller.Thurgau,symptomatic,IV,Bader.V2,Ihringen,Müller.Thurgau-symptomatic,MT_symptomatic,IV_symptomatic
ITS_23,Müller.Thurgau,symptomatic,IV,Bader.V2,Ihringen,Müller.Thurgau-symptomatic,MT_symptomatic,IV_symptomatic
ITS_24,Müller.Thurgau,symptomatic,IV,Bader.V2,Ihringen,Müller.Thurgau-symptomatic,MT_symptomatic,IV_symptomatic
ITS_25,Müller.Thurgau,asymptomatic,V,Bury.V1,Ihringen,Müller.Thurgau-asymptomatic,MT_asymptomatic,V_asymptomatic
ITS_26,Müller.Thurgau,asymptomatic,V,Bury.V1,Ihringen,Müller.Thurgau-asymptomatic,MT_asymptomatic,V_asymptomatic
ITS_27,Müller.Thurgau,asymptomatic,V,Bury.V1,Ihringen,Müller.Thurgau-asymptomatic,MT_asymptomatic,V_asymptomatic
ITS_28,Müller.Thurgau,symptomatic,V,Bury.V1,Ihringen,Müller.Thurgau-symptomatic,MT_symptomatic,V_symptomatic
ITS_29,Müller.Thurgau,symptomatic,V,Bury.V1,Ihringen,Müller.Thurgau-symptomatic,MT_symptomatic,V_symptomatic
ITS_30,Müller.Thurgau,symptomatic,V,Bury.V1,Ihringen,Müller.Thurgau-symptomatic,MT_symptomatic,V_symptomatic
ITS_31,Müller.Thurgau,asymptomatic,VI,Bury.V2,Ihringen,Müller.Thurgau-asymptomatic,MT_asymptomatic,VI_asymptomatic
ITS_32,Müller.Thurgau,asymptomatic,VI,Bury.V2,Ihringen,Müller.Thurgau-asymptomatic,MT_asymptomatic,VI_asymptomatic
