vineyard,Shannon,Chao1,Faith_pd,Unif_PCOA1,Unif_PCOA2,Bray_PCOA1,Bray_PCOA2,Soil_PC1,Soil_PC2,Fe,Mn,Cu,Zn,B
I,6.97,695.83,85.6,0,0.09,-0.16,-0.14,-2.42,0.51,15,452,26,63,0.37
II,6.9,932.75,141.05,-0.68,0.05,-0.24,-0.25,-1.18,0.79,17,504,30,77,0.37
III,7.1,770.5,140.97,-0.41,-0.32,-0.1,-0.27,1.25,-0.33,19,695,40,96,0.39
IV,7.32,840.33,127.63,0.05,-0.34,-0.03,-0.23,2.99,3.51,12,468,48,84,0.51
V,6.98,681,85.09,0.1,0.13,-0.24,0.3,-3.06,-0.59,13,452,29,71,0.27
VI,6.8,532.5,71.34,-0.1,0.26,-0.27,0.29,-3.65,-0.91,12,432,21,56,0.24
VII,6.93,569.83,80.77,-0.05,-0.18,-0.19,-0.07,-0.45,0.85,12,467,32,86,0.38
VIII,6.82,555.17,82.58,0.18,0.04,0.53,0.01,0.82,-2.81,23,563,28,108,0.3
X,6.77,641.67,86.42,0.62,0.02,0.63,0.09,7.03,-1.41,34,665,78,162,0.45
XI,6.79,585.5,72.89,0.05,0.25,-0.07,0.13,-1.34,0.39,14,448,39,84,0.31
