vineyard,Shannon,Chao1,Faith_pd,Unif_PCOA1,Unif_PCOA2,Bray_PCOA1,Bray_PCOA2,Soil_PC1,Soil_PC2,Fe,Mn,Cu,Zn,B
I,9.1,7446.8,359.3,0.2,-0.3,0.1,0,-2.42,0.51,15,452,26,63,0.37
II,8.4,2292.4,246.8,-0.2,0,-0.1,0.1,-1.18,0.79,17,504,30,77,0.37
III,7.8,878.3,340.7,-0.1,0.1,-0.1,0,1.25,-0.33,19,695,40,96,0.39
IV,8.3,2426,290.6,0.2,-0.2,0,0,2.99,3.51,12,468,48,84,0.51
V,8.7,4736.2,308.4,-0.1,-0.1,-0.1,0,-3.06,-0.59,13,452,29,71,0.27
VI,8.5,2484,215.2,-0.2,-0.1,-0.1,0,-3.65,-0.91,12,432,21,56,0.24
VII,8.4,2639,208.2,-0.3,0,-0.1,-0.1,-0.45,0.85,12,467,32,86,0.38
VIII,8.4,2531.8,189,-0.2,0.3,-0.1,0.3,0.82,-2.81,23,563,28,108,0.3
X,8.6,4621.7,531.3,0.7,0.4,0.5,-0.1,7.03,-1.41,34,665,78,162,0.45
XI,8.3,3055.3,262.5,0,-0.1,-0.1,-0.1,-1.34,0.39,14,448,39,84,0.31
